n1411013,法轮功学员北京被捕太太赴美求救
n13053042,女儿日本营救被中共非法关押母亲 议员表示帮助
n13064493,国庆日 加拿大法轮功学员尼加拉瀑布传福音
n13078953,一位法轮功学员的经历感动美国州长
n13084394,加国亚省省长：终结中共！法轮大法好！
n13090743,欧洲政要感佩法轮功 敦促中共停止迫害
n13091403,国际宗教自由千人峰会 “反共”成共识
n13091349,法轮功反迫害22周年 英国政要支持
n13104833,法国十城市法轮功反迫害 政要媒体支持
n13107072,法轮功7·20反迫害 瑞士议员到场声援
n13108177,国际宗教圆桌会议主席：制止中共迫害法轮功
n13109600,德国议员：结束迫害法轮功必须是外交政策目标
n13108359,美专家鼓励法轮功学员： 磨难中要坚持信仰
n13112261,支持法轮功旗帜悬挂斯洛伐克首都老城办公楼
n13114441,全球政要声援法轮功 吁结束中共迫害
n13116685,波兰法轮功学员集会 议员：必须停止迫害
n13116951,真善忍福益社会 多国政要感佩法轮功学员
n13118879,法轮功学员22年反迫害 美加州官员致函支持
n13119398,瑞士洛桑法轮功反迫害活动 政要到场支持
n13127336,瑞士联邦议会前主席：谴责中共实施的杀戮
n13129148,德国慕尼黑法轮功反迫害集会 政要致信声援
n13129633,“我要学法轮功” 瑞士市民感叹真善忍无价
n13143632,法轮功反迫害22周年 德国政要声援
n13157750,美国前官员：中共迫害法轮功是群体灭绝
n13158310,美议员声援被中共关押的法轮功学员家属
n13175975,法兰克福法轮功集会 德议员声援 吁制裁中共
n13182701,谢燕益：就许娜案致北京市政法委书记
n13233845,美议员吁国务卿向中共施压 释放油田工程师
n13264475,世界反活摘器官峰会 呼吁媒体有责任揭露真相
n13321179,荷兰电影节首映片《别问问题》揭中共谎言
n13343404,中共暴徒袭击香港大纪元记者“追查国际”追查
n13365839,大陆教师招聘不收法轮功学员 律师：严重违法
n13429744,三青年吁营救在中国的父母 加国议员支持
n13430243,人权日 英国外交部回应中共活摘器官问题
n13437662,梁小军律师吊照听证 被指走过场
n13445909,36国接迫害法轮功者最新名单 震慑中共
n13451524,法轮功学员邓翠萍等人被抓 美国务院关注
n13465411,美国会中国委员会呼吁停止迫害法轮功
n13471084,终结中共迫害 “支持法轮功”征签破十万
n13480118,大连八旬老汉死于冤狱 英国人谴责中共暴行
n13497482,丹麦法轮功学员递中共人权恶人名单 政府回应
n13521294,11法轮功学员遭重判 加政要谴中共打压人权
n13521806,美国谴责中共冬奥前重判11名法轮功学员
n13524739,《沉默呼声》华府上映 观众：真实 震撼 感人
n13543228,日本议员祝法轮功创始人李洪志先生新年好
n13531756,中国新年在即 多伦多华人向李洪志先生拜年
n13552049,澳知名华人作家：李洪志大师造福人类
n13554208,美国国会议员祝李洪志大师中国新年快乐
n13556164,澳墨尔本人权捍卫者恭祝李洪志先生新年好
n13570425,司法护理专家：活摘器官造成广泛的受害群
n13607391,云昭：谢燕益的道
n13631310,法轮功学员被迫害致死 美委员会吁美制裁中共
n13682069,女法轮功学员被迫害致死 美议员谴责中共
n13720670,美发布宗教自由报告 吁制裁更多中共官员
n13724124,“4.25”美国宗教自由大使会见法轮功代表
n13726335,日本私企老板感谢李洪志大师传出高德大法
n13729166,加拿大十城官员升旗 贺世界法轮大法日
n13732612,新报告：疫情下 中共迫害法轮功严重加剧
n13732651,5·13世界法轮大法日 纽约三级政府褒奖致贺
n13733292,北卡州四位市长致褒奖信祝贺法轮大法日
